SK_ID_CURR,TARGET
100001,0.36
100005,0.42
100013,0.35
100028,0.35
100038,0.4
100042,0.41
100057,0.34
100065,0.37
100066,0.29
100067,0.41
100074,0.35
100090,0.36
100091,0.43
100092,0.41
100106,0.36
100107,0.49
100109,0.43
100117,0.37
100128,0.45
100141,0.39
100150,0.35
100168,0.36
100169,0.36
100170,0.34
100171,0.37
100172,0.45
100184,0.46
100187,0.43
100212,0.48
100222,0.51
100223,0.4
100232,0.37
100241,0.36
100245,0.31
100253,0.34
100256,0.38
100271,0.41
100278,0.39
100280,0.33
100306,0.46
100311,0.41
100312,0.34
100330,0.5
100331,0.36
100352,0.43
100358,0.45
100367,0.38
100382,0.33
100384,0.37
100385,0.57
100386,0.51
100399,0.38
100404,0.42
100416,0.4
100422,0.4
100426,0.52
100438,0.24
100444,0.4
100445,0.39
100446,0.4
100447,0.39
100450,0.37
100466,0.35
100483,0.41
100484,0.39
100494,0.24
100510,0.43
100512,0.42
100517,0.37
100548,0.49
100551,0.4
100552,0.47
100553,0.27
100561,0.38
100568,0.42
100569,0.45
100591,0.48
100592,0.4
100602,0.43
100607,0.42
100613,0.47
100617,0.38
100618,0.38
100622,0.46
100625,0.43
100677,0.38
100699,0.28
100702,0.46
100711,0.42
100729,0.44
100740,0.5
100744,0.49
100745,0.41
100747,0.39
100751,0.56
100752,0.43
100753,0.42
100754,0.46
100760,0.45
100762,0.5
100763,0.4
100765,0.38
100770,0.45
100772,0.38
100777,0.38
100791,0.31
100792,0.31
100797,0.46
100823,0.36
100826,0.33
100830,0.43
100836,0.43
100872,0.37
100910,0.33
100913,0.52
100918,0.44
100931,0.29
100952,0.4
100953,0.46
100965,0.51
100970,0.41
100982,0.42
100983,0.42
100984,0.42
100987,0.4
100997,0.45
100998,0.41
101002,0.41
101005,0.37
101008,0.41
101020,0.39
101021,0.35
101024,0.49
101025,0.55
101026,0.43
101031,0.38
101041,0.26
101051,0.27
101055,0.46
101056,0.33
101057,0.4
101064,0.44
101079,0.5
101087,0.39
101090,0.38
101092,0.51
101097,0.35
101099,0.33
101107,0.36
101118,0.42
101125,0.46
101126,0.42
101128,0.45
101136,0.38
101140,0.39
101149,0.37
101160,0.49
101169,0.51
101181,0.38
101186,0.43
101190,0.44
101193,0.4
101194,0.41
101198,0.4
101200,0.36
101204,0.43
101211,0.4
101213,0.46
101223,0.34
101225,0.42
101237,0.4
101243,0.45
101244,0.45
101258,0.47
101259,0.5
101268,0.43
101269,0.34
101271,0.35
101279,0.39
101281,0.43
101287,0.33
101292,0.36
101294,0.33
101296,0.51
101297,0.31
101299,0.4
101301,0.42
101305,0.47
101308,0.41
101318,0.32
101327,0.42
101329,0.38
101332,0.48
101337,0.28
101343,0.29
101345,0.31
101346,0.34
101353,0.45
101354,0.39
101355,0.41
101356,0.36
101362,0.39
101363,0.36
101365,0.4
101366,0.29
101367,0.33
101368,0.34
101374,0.33
101380,0.44
101383,0.32
101398,0.41
101399,0.4
101401,0.49
101412,0.35
101426,0.38
101427,0.56
101428,0.5
101429,0.42
101434,0.34
101440,0.4
101448,0.44
101449,0.37
101465,0.36
101467,0.41
101472,0.42
101478,0.47
101497,0.46
101504,0.32
101547,0.41
101548,0.46
101555,0.47
101570,0.33
101572,0.44
101578,0.38
101580,0.44
101588,0.52
101602,0.3
101610,0.48
101614,0.39
101616,0.4
101643,0.52
101644,0.43
101649,0.39
101650,0.46
101665,0.35
101667,0.37
101669,0.41
101674,0.43
101675,0.37
101678,0.46
101682,0.36
101686,0.44
101697,0.44
101700,0.48
101711,0.43
101714,0.5
101715,0.47
101728,0.43
101732,0.45
101757,0.46
101758,0.38
101759,0.34
101762,0.34
101764,0.32
101780,0.52
101784,0.33
101789,0.43
101816,0.46
101819,0.36
101827,0.31
101863,0.42
101867,0.38
101870,0.29
101873,0.48
101878,0.47
101879,0.35
101880,0.39
101887,0.47
101897,0.4
101901,0.36
101903,0.55
101920,0.39
101921,0.37
101922,0.41
101961,0.44
101962,0.31
101971,0.35
101976,0.45
102002,0.39
102005,0.34
102007,0.45
102017,0.41
102019,0.47
102029,0.34
102051,0.35
102052,0.29
102054,0.33
102062,0.45
102067,0.49
102068,0.5
102070,0.38
102090,0.42
102092,0.45
102099,0.46
102100,0.46
102112,0.39
102113,0.46
102122,0.48
102123,0.41
102125,0.4
102126,0.51
102146,0.43
102147,0.52
102151,0.37
102158,0.44
102159,0.27
102162,0.43
102165,0.37
102166,0.42
102174,0.28
102193,0.44
102198,0.29
102205,0.41
102206,0.36
102218,0.36
102221,0.37
102230,0.48
102238,0.32
102248,0.37
102252,0.41
102259,0.42
102262,0.46
102273,0.38
102286,0.46
102293,0.39
102294,0.34
102296,0.39
102298,0.39
102303,0.43
102309,0.41
102315,0.35
102340,0.38
102342,0.41
102344,0.48
102346,0.36
102347,0.4
102374,0.48
102380,0.41
102387,0.34
102393,0.38
102403,0.31
102413,0.33
102414,0.36
102415,0.45
102416,0.37
102439,0.41
102441,0.36
102443,0.4
102444,0.38
102445,0.44
102448,0.35
102449,0.55
102450,0.62
102456,0.31
102458,0.45
102459,0.31
102465,0.29
102470,0.5
102471,0.35
102475,0.49
102476,0.59
102506,0.4
102509,0.42
102519,0.35
102522,0.31
102545,0.34
102549,0.44
102562,0.37
102563,0.27
102568,0.44
102582,0.39
102592,0.36
102597,0.45
102605,0.47
102614,0.34
102617,0.37
102634,0.38
102652,0.35
102655,0.42
102671,0.44
102694,0.55
102701,0.36
102703,0.35
102704,0.37
102713,0.34
102720,0.47
102731,0.33
102733,0.41
102749,0.49
102755,0.39
102763,0.39
102770,0.37
102772,0.34
102799,0.4
102838,0.39
102854,0.44
102862,0.45
102863,0.37
102867,0.37
102868,0.36
102878,0.4
102887,0.3
102898,0.48
102904,0.39
102912,0.42
102919,0.41
102927,0.33
102932,0.32
102933,0.39
102935,0.4
102958,0.43
102969,0.39
102971,0.39
102975,0.36
102979,0.39
102982,0.34
102987,0.47
102989,0.37
102995,0.36
102996,0.23
103000,0.37
103001,0.46
103004,0.37
103010,0.34
103025,0.41
103029,0.38
103046,0.35
103056,0.46
103062,0.47
103078,0.39
103083,0.35
103092,0.43
103096,0.4
103097,0.3
103102,0.47
103112,0.37
103132,0.39
103144,0.33
103145,0.46
103146,0.34
103147,0.36
103158,0.38
103171,0.35
103173,0.32
103184,0.34
103195,0.51
103196,0.3
103206,0.38
103230,0.46
103231,0.43
103232,0.39
103239,0.35
103240,0.36
103243,0.33
103252,0.36
103258,0.48
103259,0.38
103279,0.26
103280,0.26
103286,0.33
103287,0.58
103290,0.36
103298,0.44
103315,0.39
103319,0.47
103334,0.44
103336,0.44
103345,0.38
103368,0.35
103371,0.39
103377,0.37
103398,0.32
103404,0.36
103408,0.44
103410,0.32
103418,0.39
103420,0.45
103432,0.42
103433,0.35
103436,0.35
103440,0.43
103453,0.43
103459,0.4
103460,0.43
103461,0.31
103462,0.32
103473,0.36
103474,0.3
103475,0.48
103478,0.43
103480,0.26
103484,0.32
103494,0.39
103513,0.3
103515,0.34
103516,0.4
103525,0.38
103541,0.48
103544,0.3
103562,0.34
103570,0.52
103572,0.42
103574,0.42
103575,0.43
103591,0.34
103594,0.45
103609,0.39
103613,0.4
103614,0.42
103615,0.37
103624,0.33
103625,0.46
103628,0.41
103629,0.43
103647,0.46
103648,0.34
103651,0.38
103658,0.28
103668,0.36
103669,0.27
103676,0.47
103682,0.45
103683,0.36
103689,0.35
103725,0.34
103733,0.44
103744,0.33
103762,0.43
103771,0.42
103773,0.33
103783,0.31
103784,0.4
103808,0.41
103812,0.52
103813,0.51
103814,0.49
103818,0.48
103824,0.28
103828,0.4
103830,0.47
103840,0.33
103842,0.4
103847,0.49
103848,0.43
103851,0.34
103854,0.41
103857,0.43
103861,0.4
103862,0.38
103865,0.49
103870,0.33
103876,0.35
103891,0.42
103908,0.46
103914,0.33
103918,0.44
103940,0.33
103963,0.38
103966,0.41
103971,0.4
103980,0.39
103984,0.4
103985,0.27
103998,0.4
104019,0.35
104026,0.55
104035,0.4
104044,0.45
104045,0.32
104047,0.49
104051,0.34
104058,0.35
104063,0.45
104066,0.57
104087,0.34
104089,0.29
104095,0.41
104098,0.39
104104,0.35
104110,0.46
104120,0.5
104122,0.23
104131,0.34
104132,0.42
104135,0.32
104136,0.43
104149,0.32
104150,0.31
104156,0.34
104165,0.38
104175,0.34
104179,0.42
104184,0.41
104206,0.29
104216,0.46
104230,0.57
104257,0.5
104272,0.37
104273,0.33
104278,0.46
104294,0.38
104295,0.34
104297,0.35
104298,0.43
104308,0.3
104318,0.31
104319,0.34
104320,0.41
104327,0.34
104334,0.31
104344,0.34
104350,0.38
104351,0.49
104354,0.34
104369,0.47
104376,0.41
104381,0.43
104384,0.28
104391,0.35
104394,0.38
104398,0.43
104402,0.3
104408,0.4
104409,0.32
104410,0.48
104412,0.44
104417,0.49
104424,0.42
